date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:27:17	51284/51284	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Oct%202017%2021:30:00%20GMT	https://cmcmtech.com/css/ionicons.min.css	D:/office%20work/seseo/cmcmtech.com/css/ionicons.min.css	(from https://cmcmtech.com/)
10:27:17	9742/9742	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Oct%202017%2021:30:00%20GMT	https://cmcmtech.com/css/pe-icon-7-stroke.css	D:/office%20work/seseo/cmcmtech.com/css/pe-icon-7-stroke.css	(from https://cmcmtech.com/)
10:27:17	7413/7413	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Oct%202017%2021:30:00%20GMT	https://cmcmtech.com/css/magnific-popup.css	D:/office%20work/seseo/cmcmtech.com/css/magnific-popup.css	(from https://cmcmtech.com/)
10:27:18	1388/1388	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Oct%202017%2021:30:00%20GMT	https://cmcmtech.com/css/logoiconfont.css	D:/office%20work/seseo/cmcmtech.com/css/logoiconfont.css	(from https://cmcmtech.com/)
10:27:19	49748/49748	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20May%202023%2012:11:13%20GMT	https://cmcmtech.com/css/style.css	D:/office%20work/seseo/cmcmtech.com/css/style.css	(from https://cmcmtech.com/)
10:27:19	2627/2627	---MCZ	200	added ('OK')	text/css	date:Fri,%2025%20Mar%202022%2010:29:45%20GMT	https://cmcmtech.com/css/style-switcher.css	D:/office%20work/seseo/cmcmtech.com/css/style-switcher.css	(from https://cmcmtech.com/)
10:27:20	7998/7998	---MCZ	200	added ('OK')	text/css	date:Thu,%2017%20Feb%202022%2008:12:44%20GMT	https://cmcmtech.com/css/colors/blue.css	D:/office%20work/seseo/cmcmtech.com/css/colors/blue.css	(from https://cmcmtech.com/)
10:27:21	7995/7995	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Oct%202017%2021:30:00%20GMT	https://cmcmtech.com/css/colors/green.css	D:/office%20work/seseo/cmcmtech.com/css/colors/green.css	(from https://cmcmtech.com/)
10:27:21	7995/7995	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Oct%202017%2021:30:00%20GMT	https://cmcmtech.com/css/colors/orange.css	D:/office%20work/seseo/cmcmtech.com/css/colors/orange.css	(from https://cmcmtech.com/)
10:27:21	8357/8357	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Oct%202017%2021:30:00%20GMT	https://cmcmtech.com/css/colors/red.css	D:/office%20work/seseo/cmcmtech.com/css/colors/red.css	(from https://cmcmtech.com/)
10:27:22	8356/8356	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Oct%202017%2021:30:00%20GMT	https://cmcmtech.com/css/colors/orangelight.css	D:/office%20work/seseo/cmcmtech.com/css/colors/orangelight.css	(from https://cmcmtech.com/)
